station,latitude,longitude,start,tripdurationS,end,tripdurationE,month
Grove St PATH,40.71958612,-74.04311746,3100,269,3548,266,Jan
Sip Ave,40.7308971,-74.06391263,1493,386,1310,362,Jan
Newport Pkwy,40.7287448,-74.0321082,641,509,661,492,Jan
Columbus Dr at Exchange Pl,40.71687,-74.03281,1152,296,1155,307,Jan
City Hall,40.7177325,-74.043845,745,349,781,374,Jan
Columbus Drive,40.7183552,-74.03891444,556,280,606,284,Jan
Harborside,40.7192517,-74.034234,1091,323,1093,321,Jan
Marin Light Rail,40.71458404,-74.04281706,904,271.5,848,315,Jan
Newport PATH,40.7272235,-74.0337589,989,382,953,370,Jan
Newark Ave,40.72152515,-74.04630454,720,260,717,281,Jan
Van Vorst Park,40.71848892,-74.04772663,528,311.5,461,291,Jan
Journal Square,40.73367,-74.0625,393,399,325,356,Jan
Warren St,40.7211236,-74.03805095,628,295,681,285,Jan
Hamilton Park,40.72759597,-74.04424731,1327,301,1342,309,Jan
Oakland Ave,40.7376037,-74.0524783,240,411,176,399.5,Jan
Fairmount Ave,40.72572614,-74.07195926,253,381,215,370,Jan
McGinley Square,40.72533993,-74.06762213,538,237.5,400,244.5,Jan
Hilltop,40.7311689,-74.0575736,150,457,113,427,Jan
Baldwin at Montgomery,40.7236589,-74.0641943,236,548,233,439,Jan
5 Corners Library,40.73496102,-74.05950308,127,399,100,564.5,Jan
Riverview Park,40.7443187,-74.0439909,118,719,102,362,Jan
Jersey & 3rd,40.72333159,-74.04595256,616,197,594,201,Jan
Brunswick & 6th,40.72601173,-74.05038893,776,326,651,331,Jan
Washington St,40.7242941,-74.0354826,575,327,614,347.5,Jan
Monmouth and 6th,40.72568548,-74.04879034,613,297,604,283.5,Jan
Manila & 1st,40.72165072,-74.04288411,632,254.5,666,261.5,Jan
Dixon Mills,40.72163014,-74.04996783,511,198,515,216,Jan
Jersey & 6th St,40.72528911,-74.04557168,584,240.5,483,262,Jan
JC Medical Center,40.71653978,-74.04963791,398,302.5,401,330,Jan
Brunswick St,40.7241765,-74.0506564,529,294,528,290,Jan
Morris Canal,40.71241882,-74.03852552,542,309,525,306,Jan
Christ Hospital,40.73478582,-74.05044364,147,458,124,519.5,Jan
Paulus Hook,40.7141454,-74.0335519,493,374,500,380.5,Jan
Grand St,40.71517768,-74.03768331,359,265,405,338,Jan
Bergen Ave,40.72210379,-74.071455,275,374,283,361,Jan
Montgomery St,40.71942,-74.05099,259,410,245,323,Jan
Astor Place,40.7192822,-74.07126188,317,445,338,429,Jan
Essex Light Rail,40.7127742,-74.0364857,398,322.5,472,371.5,Jan
Hoboken Ave at Monmouth St,40.73520838,-74.04696375,150,533.5,189,514,Jan
York St,40.71649,-74.04105,192,242,245,318,Jan
Lincoln Park,40.7246051,-74.07840595,159,531,218,509.5,Jan
Glenwood Ave,40.72755147,-74.07106072,102,403,88,304,Jan
Lafayette Park,40.71346383,-74.06285852,212,563,201,586,Jan
Leonard Gordon Park,40.74590997,-74.05727148,89,546,77,526,Jan
Pershing Field,40.74267714,-74.05178863,235,558,247,509,Jan
Dey St,40.737711,-74.066921,94,293,130,234.5,Jan
Jackson Square,40.71113,-74.0789,76,999.5,61,781,Jan
Liberty Light Rail,40.7112423,-74.0557013,474,548.5,509,607,Jan
Heights Elevator,40.74871595,-74.0404433,140,757.5,107,1003,Jan
Communipaw & Berry Lane,40.71435837,-74.06661093,91,742,106,589.5,Jan
